STUDY_ID	SAMPLE_ID	EGFR
gbm_tcga_pub2013	TCGA-12-1096-01	NA
gbm_tcga_pub2013	TCGA-12-1097-01	NA
gbm_tcga_pub2013	TCGA-12-1098-01	NA
gbm_tcga_pub2013	TCGA-12-1099-01	NA
gbm_tcga_pub2013	TCGA-12-1597-01	9823.86
gbm_tcga_pub2013	TCGA-12-1598-01	NA
gbm_tcga_pub2013	TCGA-12-1599-01	NA
gbm_tcga_pub2013	TCGA-12-1600-01	NA
gbm_tcga_pub2013	TCGA-12-1602-01	NA
gbm_tcga_pub2013	TCGA-12-3644-01	NA
gbm_tcga_pub2013	TCGA-12-3646-01	NA
gbm_tcga_pub2013	TCGA-12-3648-01	NA
gbm_tcga_pub2013	TCGA-12-3649-01	NA
gbm_tcga_pub2013	TCGA-12-3650-01	27004.5
gbm_tcga_pub2013	TCGA-12-3651-01	NA
gbm_tcga_pub2013	TCGA-12-3652-01	16830.75
gbm_tcga_pub2013	TCGA-12-3653-01	203343.8
gbm_tcga_pub2013	TCGA-12-5295-01	12036.76
gbm_tcga_pub2013	TCGA-12-5299-01	116464.7
gbm_tcga_pub2013	TCGA-12-5301-01	NA
gbm_tcga_pub2013	TCGA-14-0736-01	NA
gbm_tcga_pub2013	TCGA-14-0740-01	NA
gbm_tcga_pub2013	TCGA-14-0781-01	666.97
gbm_tcga_pub2013	TCGA-14-0783-01	NA
gbm_tcga_pub2013	TCGA-14-0786-01	NA
gbm_tcga_pub2013	TCGA-14-0787-01	13223.2
gbm_tcga_pub2013	TCGA-14-0789-01	25479.63
gbm_tcga_pub2013	TCGA-14-0790-01	37436.71
gbm_tcga_pub2013	TCGA-14-0812-01	NA
gbm_tcga_pub2013	TCGA-14-0813-01	NA
gbm_tcga_pub2013	TCGA-14-0817-01	10360.77
gbm_tcga_pub2013	TCGA-14-0865-01	NA
gbm_tcga_pub2013	TCGA-14-0866-01	NA
gbm_tcga_pub2013	TCGA-14-0867-01	NA
gbm_tcga_pub2013	TCGA-14-0871-01	655.94
gbm_tcga_pub2013	TCGA-14-1034-01	2180.98
gbm_tcga_pub2013	TCGA-14-1037-01	NA
gbm_tcga_pub2013	TCGA-14-1043-01	NA
gbm_tcga_pub2013	TCGA-14-1395-01	NA
gbm_tcga_pub2013	TCGA-14-1396-01	NA
gbm_tcga_pub2013	TCGA-14-1401-01	NA
gbm_tcga_pub2013	TCGA-14-1402-01	NA
gbm_tcga_pub2013	TCGA-14-1450-01	NA
gbm_tcga_pub2013	TCGA-14-1451-01	NA
gbm_tcga_pub2013	TCGA-14-1452-01	NA
gbm_tcga_pub2013	TCGA-14-1453-01	NA
gbm_tcga_pub2013	TCGA-14-1454-01	NA
gbm_tcga_pub2013	TCGA-14-1455-01	NA
gbm_tcga_pub2013	TCGA-14-1456-01	NA
gbm_tcga_pub2013	TCGA-14-1458-01	NA
gbm_tcga_pub2013	TCGA-14-1459-01	NA
gbm_tcga_pub2013	TCGA-14-1794-01	NA
gbm_tcga_pub2013	TCGA-14-1795-01	NA
gbm_tcga_pub2013	TCGA-14-1821-01	NA
gbm_tcga_pub2013	TCGA-14-1823-01	7037.97
gbm_tcga_pub2013	TCGA-14-1824-01	NA
gbm_tcga_pub2013	TCGA-14-1825-01	914.96
gbm_tcga_pub2013	TCGA-14-1827-01	NA
gbm_tcga_pub2013	TCGA-14-1829-01	8439.96
gbm_tcga_pub2013	TCGA-14-2554-01	67308.27
gbm_tcga_pub2013	TCGA-14-2555-01	NA
gbm_tcga_pub2013	TCGA-14-3476-01	NA
gbm_tcga_pub2013	TCGA-14-3477-01	NA
gbm_tcga_pub2013	TCGA-14-4157-01	NA
gbm_tcga_pub2013	TCGA-15-0742-01	20726.72
gbm_tcga_pub2013	TCGA-15-1444-01	6488.76
gbm_tcga_pub2013	TCGA-15-1446-01	NA
gbm_tcga_pub2013	TCGA-15-1447-01	NA
gbm_tcga_pub2013	TCGA-15-1449-01	NA
gbm_tcga_pub2013	TCGA-16-0846-01	506.95
gbm_tcga_pub2013	TCGA-16-0848-01	NA
gbm_tcga_pub2013	TCGA-16-0849-01	NA
gbm_tcga_pub2013	TCGA-16-0850-01	NA
gbm_tcga_pub2013	TCGA-16-0861-01	NA
gbm_tcga_pub2013	TCGA-16-1045-01	40672.49
gbm_tcga_pub2013	TCGA-16-1047-01	NA
gbm_tcga_pub2013	TCGA-16-1055-01	NA
gbm_tcga_pub2013	TCGA-16-1056-01	NA
gbm_tcga_pub2013	TCGA-16-1060-01	NA
gbm_tcga_pub2013	TCGA-16-1062-01	NA
gbm_tcga_pub2013	TCGA-16-1063-01	NA
gbm_tcga_pub2013	TCGA-16-1460-01	NA
gbm_tcga_pub2013	TCGA-19-0955-01	NA
gbm_tcga_pub2013	TCGA-19-0957-01	NA
gbm_tcga_pub2013	TCGA-19-0960-01	NA
gbm_tcga_pub2013	TCGA-19-0962-01	NA
gbm_tcga_pub2013	TCGA-19-0963-01	NA
gbm_tcga_pub2013	TCGA-19-0964-01	NA
gbm_tcga_pub2013	TCGA-19-1385-01	NA
gbm_tcga_pub2013	TCGA-19-1386-01	NA
gbm_tcga_pub2013	TCGA-19-1387-01	NA
gbm_tcga_pub2013	TCGA-19-1388-01	NA
gbm_tcga_pub2013	TCGA-19-1389-01	NA
gbm_tcga_pub2013	TCGA-19-1390-01	545.99
gbm_tcga_pub2013	TCGA-19-1392-01	NA
gbm_tcga_pub2013	TCGA-19-1786-01	NA
gbm_tcga_pub2013	TCGA-19-1787-01	4646.82
gbm_tcga_pub2013	TCGA-19-1788-01	NA
gbm_tcga_pub2013	TCGA-19-1789-01	NA
gbm_tcga_pub2013	TCGA-19-1790-01	NA
gbm_tcga_pub2013	TCGA-19-1791-01	NA
gbm_tcga_pub2013	TCGA-19-2619-01	6789.85
